datetime,temperature_C,feels_like_C,humidity_%,pressure_hPa,wind_speed_m/s,clouds_%,weather
2025-10-11 09:14:54,33.07,31.69,27,1012,4.12,3,haze
2025-10-10 09:14:55,33.07,31.46,25,1012,5.66,0,haze
2025-10-09 09:14:56,34.07,32.24,22,1013,4.63,0,haze
2025-10-08 09:14:56,33.07,31.17,22,1012,2.06,0,haze
2025-10-07 09:14:56,33.07,31.08,21,1009,2.57,0,haze
